ts,server_id,disk_io
20:53:00,server_1,33.5
20:53:00,server_20,60.86
20:53:00,server_19,1300.66
20:53:00,server_18,58.3
20:53:00,server_17,29.71
20:53:00,server_16,27.02
20:53:00,server_14,87.69
20:53:00,server_13,66.76
20:53:00,server_12,13.94
20:53:00,server_11,117.11
20:53:00,server_15,2.65
20:53:00,server_9,0.0
20:53:00,server_8,104.67
20:53:00,server_7,57.0
20:53:00,server_6,0.0
20:53:00,server_5,137.7
20:53:00,server_4,0.0
20:53:00,server_3,0.0
20:53:00,server_2,82.5
20:53:00,server_10,38.9
20:53:05,server_13,0.0
20:53:05,server_14,10.58
20:53:05,server_15,662.93
20:53:05,server_16,18.4
20:53:05,server_20,11.88
20:53:05,server_18,39.09
20:53:05,server_19,4793.16
20:53:05,server_12,57.59
20:53:05,server_17,1897.05
20:53:05,server_11,4062.81
20:53:05,server_5,120.44
20:53:05,server_9,3724.88
20:53:05,server_10,131.93
20:53:05,server_2,0.0
20:53:05,server_3,106.25
20:53:05,server_4,60.32
20:53:05,server_1,96.53
20:53:05,server_6,40.59
20:53:05,server_7,123.58
20:53:05,server_8,130.38
20:53:10,server_20,1576.66
20:53:10,server_19,0.0
20:53:10,server_18,11.31
20:53:10,server_17,103.29
20:53:10,server_16,90.0
20:53:10,server_14,10.7
20:53:10,server_13,72.05
20:53:10,server_12,1686.19
20:53:10,server_11,99.78
20:53:10,server_15,865.11
20:53:10,server_9,8284.01
20:53:10,server_2,0.0
20:53:10,server_3,62.15
20:53:10,server_4,30.1
20:53:10,server_5,1567.36
20:53:10,server_1,0.0
20:53:10,server_6,0.0
20:53:10,server_7,4001.48
20:53:10,server_8,1265.61
20:53:10,server_10,0.0
20:53:15,server_12,101.21
20:53:15,server_19,0.0
20:53:15,server_18,1702.17
20:53:15,server_17,5961.28
20:53:15,server_16,62.04
20:53:15,server_15,9.44
20:53:15,server_14,2.41
20:53:15,server_13,80.51
20:53:15,server_11,6.52
20:53:15,server_20,55.45
20:53:15,server_9,120.78
20:53:15,server_1,50.92
20:53:15,server_2,147.41
20:53:15,server_3,0.0
20:53:15,server_4,73.82
20:53:15,server_10,111.89
20:53:15,server_6,139.75
20:53:15,server_7,7.66
20:53:15,server_8,11.66
20:53:15,server_5,731.88
20:53:20,server_11,28.37
20:53:20,server_19,107.08
20:53:20,server_18,13.93
20:53:20,server_17,30.71
20:53:20,server_16,0.0
20:53:20,server_15,0.0
20:53:20,server_14,57.34
20:53:20,server_13,7974.31
20:53:20,server_12,812.51
20:53:20,server_20,48.99
20:53:20,server_10,0.0
20:53:20,server_8,79.3
20:53:20,server_7,57.41
20:53:20,server_6,31.92
20:53:20,server_5,1338.3
20:53:20,server_4,160.73
