ts,server_id,net_in,net_out
20:53:00,server_1,359.45,489.36
20:53:00,server_20,620.31,685.64
20:53:00,server_19,1968.51,2237.47
20:53:00,server_18,316.96,362.91
20:53:00,server_17,0.0,0.0
20:53:00,server_16,551.3,467.44
20:53:00,server_14,810.78,740.68
20:53:00,server_13,367.86,261.95
20:53:00,server_12,809.43,950.92
20:53:00,server_11,879.48,1276.72
20:53:00,server_15,356.62,256.91
20:53:00,server_9,660.72,691.33
20:53:00,server_8,503.75,331.31
20:53:00,server_7,393.62,317.21
20:53:00,server_6,347.13,275.23
20:53:00,server_5,8330.54,7281.4
20:53:00,server_4,312.54,160.09
20:53:00,server_3,865.69,949.44
20:53:00,server_2,276.87,229.46
20:53:00,server_10,839.08,846.83
20:53:05,server_13,265.53,174.5
20:53:05,server_14,618.9,867.75
20:53:05,server_15,2434.95,2799.62
20:53:05,server_16,19991.94,17111.15
20:53:05,server_20,257.0,136.98
20:53:05,server_18,685.87,805.0
20:53:05,server_19,113.73,133.43
20:53:05,server_12,330.07,370.27
20:53:05,server_17,3070.67,3053.4
20:53:05,server_11,136.87,165.43
20:53:05,server_5,956.63,1280.41
20:53:05,server_9,79.39,48.04
20:53:05,server_10,962.31,828.95
20:53:05,server_2,232.82,264.28
20:53:05,server_3,572.34,776.03
20:53:05,server_4,842.13,993.95
20:53:05,server_1,911.76,546.59
20:53:05,server_6,280.53,237.72
20:53:05,server_7,503.92,526.04
20:53:05,server_8,701.56,564.93
20:53:10,server_20,4556.66,3912.28
20:53:10,server_19,17.36,19.57
20:53:10,server_18,796.55,995.81
20:53:10,server_17,818.53,849.43
20:53:10,server_16,920.87,1353.77
20:53:10,server_14,5886.08,6760.48
20:53:10,server_13,224.31,312.87
20:53:10,server_12,4481.31,3621.2
20:53:10,server_11,897.81,477.64
20:53:10,server_15,1865.31,1750.24
20:53:10,server_9,47.39,50.06
20:53:10,server_2,790.79,776.46
20:53:10,server_3,31.5,30.57
20:53:10,server_4,979.2,1194.21
20:53:10,server_5,3802.66,4447.15
20:53:10,server_1,365.43,211.3
20:53:10,server_6,487.48,578.26
20:53:10,server_7,197.43,177.76
20:53:10,server_8,4391.78,3685.23
20:53:10,server_10,333.61,464.14
20:53:15,server_12,324.07,322.03
20:53:15,server_19,294.93,427.33
20:53:15,server_18,3619.11,4259.26
20:53:15,server_17,184.7,258.12
20:53:15,server_16,14980.98,12320.34
20:53:15,server_15,569.9,615.45
20:53:15,server_14,923.58,813.6
20:53:15,server_13,943.34,669.91
20:53:15,server_11,644.85,335.54
20:53:15,server_20,913.07,755.71
20:53:15,server_9,17585.97,19279.42
20:53:15,server_1,260.25,131.22
20:53:15,server_2,560.77,697.32
20:53:15,server_3,860.66,1083.13
20:53:15,server_4,996.8,1433.18
20:53:15,server_10,586.96,293.76
20:53:15,server_6,1007.04,505.12
20:53:15,server_7,9859.24,9343.14
20:53:15,server_8,246.73,364.69
20:53:15,server_5,4010.24,3533.2
20:53:20,server_11,253.34,323.31
20:53:20,server_19,296.86,277.2
20:53:20,server_18,7064.46,5773.49
20:53:20,server_17,559.66,447.56
20:53:20,server_16,278.22,287.42
20:53:20,server_15,384.12,334.66
20:53:20,server_14,953.43,1319.09
20:53:20,server_13,16.22,23.84
20:53:20,server_12,4817.79,4453.22
20:53:20,server_20,380.77,280.91
20:53:20,server_10,293.69,358.09
20:53:20,server_8,130.31,116.92
20:53:20,server_7,144.81,96.52
20:53:20,server_6,671.29,886.88
20:53:20,server_5,2040.32,2240.09
20:53:20,server_4,538.54,331.56
20:53:20,server_3,195.0,133.85
20:53:20,server_2,501.32,748.46
20:53:20,server_1,636.86,399.38
20:53:20,server_9,990.24,507.12
20:53:25,server_13,982.2,1176.13
20:53:25,server_14,962.79,729.84
20:53:25,server_16,521.59,676.79
20:53:25,server_12,459.71,250.17
20:53:25,server_18,380.87,474.14
20:53:25,server_19,293.22,439.16
20:53:25,server_20,66.69,86.93
20:53:25,server_17,649.19,521.07
20:53:25,server_11,1420.58,1263.76
20:53:25,server_15,42.69,33.49
20:53:25,server_9,272.3,163.75
20:53:25,server_1,510.44,504.59
20:53:25,server_2,50.85,41.82
20:53:25,server_3,151.07,84.01
20:53:25,server_4,1719.69,1577.82
20:53:25,server_10,922.91,1279.65
20:53:25,server_6,446.68,634.21
20:53:25,server_7,126.63,140.19
20:53:25,server_8,197.01,188.38
20:53:25,server_5,1842.85,2071.27
20:53:30,server_20,345.57,353.01
20:53:30,server_19,225.78,291.93
20:53:30,server_18,3359.6,2974.44
20:53:30,server_17,955.67,1192.09
20:53:30,server_16,533.31,793.48
20:53:30,server_15,295.27,282.57
20:53:30,server_14,237.03,270.45
20:53:30,server_12,951.12,838.49
20:53:30,server_11,243.68,238.71
20:53:30,server_13,76.92,111.13
20:53:30,server_9,604.9,368.71
20:53:30,server_8,73.68,89.77
20:53:30,server_7,1422.38,1393.22
20:53:30,server_6,4038.31,4047.03
20:53:30,server_5,1053.27,571.92
20:53:30,server_4,206.87,247.52
20:53:30,server_3,652.23,556.55
20:53:30,server_2,604.19,595.36
20:53:30,server_10,847.65,1084.08
20:53:30,server_1,166.66,143.84
20:53:35,server_13,975.61,1449.68
20:53:35,server_14,828.41,836.78
20:53:35,server_15,231.8,220.66
20:53:35,server_16,927.44,687.51
20:53:35,server_20,500.39,677.82
20:53:35,server_18,156.13,86.2
20:53:35,server_19,979.67,727.91
20:53:35,server_12,0.0,0.0
20:53:35,server_17,336.99,196.22
20:53:35,server_11,171.81,125.27
20:53:35,server_3,1528.4,1390.17
20:53:35,server_9,325.81,187.16
20:53:35,server_8,996.7,860.98
20:53:35,server_7,736.03,935.13
20:53:35,server_6,482.68,652.52
20:53:35,server_5,308.27,194.26
20:53:35,server_4,459.88,355.52
20:53:35,server_2,337.82,315.81
20:53:35,server_1,19534.28,17818.64
20:53:35,server_10,550.17,458.61
20:53:40,server_12,444.31,428.67
20:53:40,server_13,334.78,360.86
20:53:40,server_14,14513.05,12171.83
20:53:40,server_15,94.57,88.96
20:53:40,server_19,15276.37,14143.03
20:53:40,server_17,394.85,366.86
20:53:40,server_18,17131.59,14215.04
20:53:40,server_11,664.17,479.77
20:53:40,server_16,318.13,358.26
20:53:40,server_20,140.71,110.52
20:53:40,server_10,32.31,23.28
20:53:40,server_8,801.13,551.78
20:53:40,server_1,927.85,557.97
20:53:40,server_2,301.47,364.11
20:53:40,server_3,12.98,7.35
20:53:40,server_9,345.27,212.41
20:53:40,server_5,951.55,1333.31
20:53:40,server_6,15699.47,16475.03
20:53:40,server_7,422.85,280.63
20:53:40,server_4,920.49,1247.47
20:53:45,server_13,11.69,15.29
20:53:45,server_20,191.32,275.62
20:53:45,server_19,825.13,778.06
20:53:45,server_18,164.03,229.45
20:53:45,server_17,892.19,937.05
20:53:45,server_16,274.06,383.49
20:53:45,server_15,621.36,660.42
20:53:45,server_14,337.05,434.04
20:53:45,server_12,203.87,114.55
20:53:45,server_11,2211.79,2190.48
20:53:45,server_1,3346.79,3201.19
20:53:45,server_9,876.79,1154.51
20:53:45,server_8,488.6,435.49
20:53:45,server_7,888.23,1250.4
20:53:45,server_6,404.16,385.11
20:53:45,server_5,4685.76,4767.53
20:53:45,server_4,3972.98,4209.08
20:53:45,server_3,37.63,47.64
20:53:45,server_2,3470.41,3272.15
20:53:45,server_10,179.63,205.93
20:53:50,server_13,521.5,554.86
20:53:50,server_14,251.98,327.45
20:53:50,server_15,4.54,4.76
20:53:50,server_16,470.32,426.75
20:53:50,server_12,59.15,56.85
20:53:50,server_18,410.85,574.85
20:53:50,server_19,4506.59,4080.5
20:53:50,server_20,975.15,1101.73
20:53:50,server_17,907.94,528.64
20:53:50,server_11,293.51,358.42
20:53:50,server_1,974.1,530.17
20:53:50,server_9,587.13,614.97
20:53:50,server_8,1045.09,1077.05
20:53:50,server_7,2833.85,2697.14
20:53:50,server_6,490.27,529.27
20:53:50,server_5,3172.22,2818.49
20:53:50,server_4,520.09,663.95
20:53:50,server_3,75.0,90.75
20:53:50,server_2,19986.17,18994.12
20:53:50,server_10,372.5,306.39
20:53:55,server_13,478.38,589.63
20:53:55,server_14,208.81,122.96
20:53:55,server_15,834.13,864.49
20:53:55,server_16,153.17,137.71
20:53:55,server_20,728.92,518.55
20:53:55,server_18,261.49,187.88
20:53:55,server_19,166.0,164.67
20:53:55,server_12,195.03,114.11
20:53:55,server_17,16573.34,18962.68
20:53:55,server_11,3814.87,3807.99
20:53:55,server_5,45.84,40.3
20:53:55,server_9,29.94,42.41
20:53:55,server_2,219.98,296.42
20:53:55,server_3,2614.0,2874.14
20:53:55,server_4,2091.84,1751.64
20:53:55,server_1,825.35,631.92
20:53:55,server_6,1002.02,591.57
20:53:55,server_7,265.65,267.2
20:53:55,server_8,633.37,840.59
20:53:55,server_10,13118.71,11581.97
20:54:00,server_12,838.86,989.82
20:54:00,server_19,695.61,392.63
20:54:00,server_18,6890.01,6705.3
20:54:00,server_17,4760.99,4375.22
20:54:00,server_16,182.5,217.21
20:54:00,server_15,433.52,283.66
20:54:00,server_14,128.01,122.64
20:54:00,server_13,259.32,139.41
20:54:00,server_11,879.08,773.53
