ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,34.74,46.41,359.45,489.36,33.5
20:53:00,server_20,62.46,74.1,620.31,685.64,60.86
20:53:00,server_19,59.49,41.54,1968.51,2237.47,1300.66
20:53:00,server_18,24.08,12.62,316.96,362.91,58.3
20:53:00,server_17,3.6,99.49,0.0,0.0,29.71
20:53:00,server_16,56.6,72.56,551.3,467.44,27.02
20:53:00,server_14,87.07,89.85,810.78,740.68,87.69
20:53:00,server_13,22.78,96.57,367.86,261.95,66.76
20:53:00,server_12,95.32,13.49,809.43,950.92,13.94
20:53:00,server_11,86.25,92.09,879.48,1276.72,117.11
20:53:00,server_15,26.3,41.68,356.62,256.91,2.65
20:53:00,server_9,62.8,79.71,660.72,691.33,0.0
20:53:00,server_8,42.41,65.08,503.75,331.31,104.67
20:53:00,server_7,34.67,39.27,393.62,317.21,57.0
20:53:00,server_6,30.53,32.44,347.13,275.23,0.0
20:53:00,server_5,60.06,57.12,8330.54,7281.4,137.7
20:53:00,server_4,25.23,21.5,312.54,160.09,0.0
20:53:00,server_3,86.18,24.44,865.69,949.44,0.0
20:53:00,server_2,30.26,27.98,276.87,229.46,82.5
20:53:00,server_10,89.37,0.57,839.08,846.83,38.9
20:53:05,server_13,32.96,29.22,265.53,174.5,0.0
20:53:05,server_14,64.52,80.05,618.9,867.75,10.58
20:53:05,server_15,69.53,62.12,2434.95,2799.62,662.93
20:53:05,server_16,59.45,58.38,19991.94,17111.15,18.4
20:53:05,server_20,24.05,24.97,257.0,136.98,11.88
20:53:05,server_18,58.42,67.27,685.87,805.0,39.09
20:53:05,server_19,40.49,36.06,113.73,133.43,4793.16
20:53:05,server_12,36.96,42.37,330.07,370.27,57.59
20:53:05,server_17,68.28,63.31,3070.67,3053.4,1897.05
20:53:05,server_11,49.17,41.9,136.87,165.43,4062.81
20:53:05,server_5,96.23,87.0,956.63,1280.41,120.44
20:53:05,server_9,34.02,47.0,79.39,48.04,3724.88
20:53:05,server_10,97.94,82.45,962.31,828.95,131.93
20:53:05,server_2,21.54,26.14,232.82,264.28,0.0
20:53:05,server_3,53.6,70.2,572.34,776.03,106.25
20:53:05,server_4,80.2,27.3,842.13,993.95,60.32
20:53:05,server_1,87.12,6.89,911.76,546.59,96.53
20:53:05,server_6,25.42,94.68,280.53,237.72,40.59
20:53:05,server_7,53.85,65.29,503.92,526.04,123.58
20:53:05,server_8,64.21,77.46,701.56,564.93,130.38
20:53:10,server_20,53.12,62.75,4556.66,3912.28,1576.66
20:53:10,server_19,4.2,80.52,17.36,19.57,0.0
20:53:10,server_18,85.35,9.74,796.55,995.81,11.31
20:53:10,server_17,86.26,90.43,818.53,849.43,103.29
20:53:10,server_16,87.4,87.35,920.87,1353.77,90.0
20:53:10,server_14,54.52,46.4,5886.08,6760.48,10.7
20:53:10,server_13,20.47,21.58,224.31,312.87,72.05
20:53:10,server_12,44.58,56.08,4481.31,3621.2,1686.19
20:53:10,server_11,87.48,84.38,897.81,477.64,99.78
20:53:10,server_15,44.6,54.34,1865.31,1750.24,865.11
20:53:10,server_9,27.93,26.86,47.39,50.06,8284.01
20:53:10,server_2,83.24,23.79,790.79,776.46,0.0
20:53:10,server_3,3.44,90.81,31.5,30.57,62.15
20:53:10,server_4,99.21,13.77,979.2,1194.21,30.1
20:53:10,server_5,52.07,46.97,3802.66,4447.15,1567.36
20:53:10,server_1,29.65,18.57,365.43,211.3,0.0
20:53:10,server_6,37.72,31.38,487.48,578.26,0.0
20:53:10,server_7,35.02,36.12,197.43,177.76,4001.48
20:53:10,server_8,54.05,67.75,4391.78,3685.23,1265.61
20:53:10,server_10,37.47,43.93,333.61,464.14,0.0
20:53:15,server_12,26.83,30.85,324.07,322.03,101.21
20:53:15,server_19,23.86,35.0,294.93,427.33,0.0
20:53:15,server_18,55.08,55.1,3619.11,4259.26,1702.17
20:53:15,server_17,20.03,24.95,184.7,258.12,5961.28
20:53:15,server_16,72.13,56.9,14980.98,12320.34,62.04
20:53:15,server_15,60.51,69.13,569.9,615.45,9.44
20:53:15,server_14,90.64,27.0,923.58,813.6,2.41
20:53:15,server_13,88.75,97.67,943.34,669.91,80.51
20:53:15,server_11,64.99,70.55,644.85,335.54,6.52
20:53:15,server_20,91.36,29.9,913.07,755.71,55.45
20:53:15,server_9,68.41,49.43,17585.97,19279.42,120.78
20:53:15,server_1,25.91,22.87,260.25,131.22,50.92
20:53:15,server_2,51.96,64.88,560.77,697.32,147.41
20:53:15,server_3,91.96,84.12,860.66,1083.13,0.0
20:53:15,server_4,97.22,91.1,996.8,1433.18,73.82
20:53:15,server_10,62.09,83.21,586.96,293.76,111.89
20:53:15,server_6,98.96,21.48,1007.04,505.12,139.75
20:53:15,server_7,79.94,51.89,9859.24,9343.14,7.66
20:53:15,server_8,31.32,37.23,246.73,364.69,11.66
20:53:15,server_5,45.3,51.05,4010.24,3533.2,731.88
20:53:20,server_11,25.34,15.36,253.34,323.31,28.37
20:53:20,server_19,32.69,22.47,296.86,277.2,107.08
20:53:20,server_18,53.19,57.46,7064.46,5773.49,13.93
20:53:20,server_17,63.15,78.0,559.66,447.56,30.71
20:53:20,server_16,33.01,20.11,278.22,287.42,0.0
20:53:20,server_15,39.94,30.69,384.12,334.66,0.0
20:53:20,server_14,94.05,18.91,953.43,1319.09,57.34
20:53:20,server_13,45.95,28.67,16.22,23.84,7974.31
20:53:20,server_12,55.85,67.13,4817.79,4453.22,812.51
20:53:20,server_20,32.25,49.06,380.77,280.91,48.99
20:53:20,server_10,32.69,51.26,293.69,358.09,0.0
20:53:20,server_8,19.61,91.55,130.31,116.92,79.3
20:53:20,server_7,16.69,81.52,144.81,96.52,57.41
20:53:20,server_6,61.22,63.1,671.29,886.88,31.92
20:53:20,server_5,45.39,64.4,2040.32,2240.09,1338.3
20:53:20,server_4,53.09,79.01,538.54,331.56,160.73
20:53:20,server_3,24.15,43.06,195.0,133.85,86.73
20:53:20,server_2,47.78,58.76,501.32,748.46,121.73
20:53:20,server_1,63.68,41.37,636.86,399.38,80.96
20:53:20,server_9,97.42,28.89,990.24,507.12,97.44
20:53:25,server_13,93.55,97.68,982.2,1176.13,127.19
20:53:25,server_14,92.06,4.11,962.79,729.84,96.57
20:53:25,server_16,48.8,65.33,521.59,676.79,103.25
20:53:25,server_12,46.82,48.41,459.71,250.17,106.78
20:53:25,server_18,47.71,40.44,380.87,474.14,26.41
20:53:25,server_19,29.98,58.08,293.22,439.16,0.0
20:53:25,server_20,1.48,91.35,66.69,86.93,67.88
20:53:25,server_17,57.91,63.52,649.19,521.07,92.67
20:53:25,server_11,58.02,57.83,1420.58,1263.76,1383.09
20:53:25,server_15,2.4,98.17,42.69,33.49,80.41
20:53:25,server_9,25.87,27.95,272.3,163.75,88.32
20:53:25,server_1,49.45,49.64,510.44,504.59,61.43
20:53:25,server_2,41.31,29.31,50.85,41.82,9242.81
20:53:25,server_3,47.88,25.11,151.07,84.01,5774.71
20:53:25,server_4,65.11,55.58,1719.69,1577.82,1973.4
20:53:25,server_10,86.21,19.82,922.91,1279.65,82.15
20:53:25,server_6,45.54,54.38,446.68,634.21,94.05
20:53:25,server_7,39.09,49.88,126.63,140.19,8793.79
20:53:25,server_8,29.59,29.79,197.01,188.38,8249.83
20:53:25,server_5,67.33,45.12,1842.85,2071.27,1121.21
20:53:30,server_20,31.2,33.36,345.57,353.01,24.97
20:53:30,server_19,24.85,81.32,225.78,291.93,44.96
20:53:30,server_18,45.07,52.91,3359.6,2974.44,1516.44
20:53:30,server_17,93.98,92.02,955.67,1192.09,181.52
20:53:30,server_16,59.72,45.6,533.31,793.48,95.49
20:53:30,server_15,41.33,48.13,295.27,282.57,0.0
20:53:30,server_14,27.38,35.02,237.03,270.45,31.42
20:53:30,server_12,96.77,88.49,951.12,838.49,4.19
20:53:30,server_11,23.23,87.31,243.68,238.71,0.0
20:53:30,server_13,26.86,40.61,76.92,111.13,8137.79
20:53:30,server_9,48.34,55.51,604.9,368.71,27.53
20:53:30,server_8,29.96,21.83,73.68,89.77,4404.82
20:53:30,server_7,42.08,57.05,1422.38,1393.22,939.46
20:53:30,server_6,53.03,60.36,4038.31,4047.03,990.89
20:53:30,server_5,95.36,93.01,1053.27,571.92,145.95
20:53:30,server_4,25.55,37.34,206.87,247.52,46.81
20:53:30,server_3,68.1,73.73,652.23,556.55,145.26
