server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:53:00,20:53:30,48.43,30.96,
server_1,20:53:10,20:53:40,43.36,47.97,
server_1,20:53:20,20:53:50,59.7,65.51,
server_1,20:53:30,20:54:00,70.71,79.01,Memory saturation suspected
server_1,20:53:40,20:54:10,71.49,70.03,
server_1,20:53:50,20:54:20,66.97,67.61,
server_1,20:54:00,20:54:30,50.22,52.51,
server_1,20:54:10,20:54:40,48.34,60.63,
server_1,20:54:20,20:54:50,43.95,50.67,
server_1,20:54:30,20:55:00,36.15,67.15,
server_1,20:54:40,20:55:10,30.32,50.88,
server_1,20:54:50,20:55:20,31.56,52.54,
server_1,20:55:00,20:55:30,38.48,35.76,
server_1,20:55:10,20:55:40,46.95,57.01,
server_1,20:55:20,20:55:50,48.33,61.75,
server_1,20:55:30,20:56:00,60.32,58.51,
server_1,20:55:40,20:56:10,58.62,39.32,
server_1,20:55:50,20:56:20,60.89,50.0,
server_1,20:56:00,20:56:30,59.42,60.78,
server_1,20:56:10,20:56:40,68.66,75.31,
server_1,20:56:20,20:56:50,60.49,61.5,
server_1,20:56:30,20:57:00,46.44,60.09,
server_1,20:56:40,20:57:10,34.48,45.14,
server_1,20:56:50,20:57:20,46.08,41.95,
server_1,20:57:00,20:57:30,47.63,41.99,
server_1,20:57:10,20:57:40,59.13,55.04,
server_1,20:57:20,20:57:50,61.13,54.72,
server_1,20:57:30,20:58:00,70.22,57.63,
server_1,20:57:40,20:58:10,57.35,46.64,
server_1,20:57:50,20:58:20,54.7,46.04,
server_1,20:58:00,20:58:30,58.66,47.31,
server_1,20:58:10,20:58:40,65.72,52.52,
server_1,20:58:20,20:58:50,67.75,62.2,
server_1,20:58:30,20:59:00,68.15,61.46,
server_1,20:58:40,20:59:10,61.45,69.48,
server_1,20:58:50,20:59:20,55.92,71.53,
server_1,20:59:00,20:59:30,50.74,64.69,
server_1,20:59:10,20:59:40,66.74,46.17,
server_1,20:59:20,20:59:50,63.58,41.04,
server_1,20:59:30,21:00:00,69.26,45.44,
server_1,20:59:40,21:00:10,57.91,50.91,
server_1,20:59:50,21:00:20,63.61,56.2,
server_1,21:00:00,21:00:30,56.97,51.36,
server_1,21:00:10,21:00:40,46.58,59.53,
server_1,21:00:20,21:00:50,35.65,59.66,
server_1,21:00:30,21:01:00,40.44,64.17,
server_1,21:00:40,21:01:10,60.16,62.51,
server_1,21:00:50,21:01:20,69.61,49.97,
server_1,21:01:00,21:01:30,63.69,48.21,
server_1,21:01:10,21:01:40,52.8,42.88,
server_1,21:01:20,21:01:50,50.96,52.73,
server_1,21:01:30,21:02:00,64.2,50.56,
server_1,21:01:40,21:02:10,65.13,49.09,
server_1,21:01:50,21:02:20,58.93,38.18,
server_1,21:02:00,21:02:30,54.22,43.45,
server_1,21:02:10,21:02:40,59.16,46.61,
server_1,21:02:20,21:02:50,66.03,54.59,
server_1,21:02:30,21:03:00,57.6,47.99,
server_1,21:02:40,21:03:10,56.46,53.62,
server_1,21:02:50,21:03:20,46.58,47.29,
