server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:53:00,20:53:30,911.76,96.53,
server_1,20:53:10,20:53:40,19534.28,99.85,Possible DDoS
server_1,20:53:20,20:53:50,19534.28,831.44,Possible DDoS
server_1,20:53:30,20:54:00,19534.28,831.44,Possible DDoS
server_1,20:53:40,20:54:10,3346.79,7124.14,Disk thrash suspected
server_1,20:53:50,20:54:20,974.1,7124.14,Disk thrash suspected
server_1,20:54:00,20:54:30,3704.5,7124.14,Disk thrash suspected
server_1,20:54:10,20:54:40,16480.74,1509.72,Possible DDoS
server_1,20:54:20,20:54:50,17026.91,5349.64,Network flood + Disk thrash suspected
server_1,20:54:30,20:55:00,17026.91,5349.64,Network flood + Disk thrash suspected
server_1,20:54:40,20:55:10,17026.91,5349.64,Network flood + Disk thrash suspected
server_1,20:54:50,20:55:20,13411.87,1027.23,Possible DDoS
server_1,20:55:00,20:55:30,13411.87,1027.23,Possible DDoS
server_1,20:55:10,20:55:40,13411.87,1027.23,Possible DDoS
server_1,20:55:20,20:55:50,16351.07,944.67,Possible DDoS
server_1,20:55:30,20:56:00,16667.5,944.67,Possible DDoS
server_1,20:55:40,20:56:10,16667.5,6156.49,Network flood + Disk thrash suspected
server_1,20:55:50,20:56:20,16667.5,6156.49,Network flood + Disk thrash suspected
server_1,20:56:00,20:56:30,13491.62,6156.49,Network flood + Disk thrash suspected
server_1,20:56:10,20:56:40,13491.62,531.67,Possible DDoS
server_1,20:56:20,20:56:50,13491.62,531.67,Possible DDoS
server_1,20:56:30,20:57:00,2666.45,531.67,
server_1,20:56:40,20:57:10,501.42,9723.95,Disk thrash suspected
server_1,20:56:50,20:57:20,13248.04,9723.95,Network flood + Disk thrash suspected
server_1,20:57:00,20:57:30,13248.04,9723.95,Network flood + Disk thrash suspected
server_1,20:57:10,20:57:40,13248.04,7883.16,Network flood + Disk thrash suspected
server_1,20:57:20,20:57:50,5918.58,7883.16,Network flood + Disk thrash suspected
server_1,20:57:30,20:58:00,5918.58,155.17,Possible DDoS
server_1,20:57:40,20:58:10,5918.58,5995.46,Network flood + Disk thrash suspected
server_1,20:57:50,20:58:20,905.83,5995.46,Disk thrash suspected
server_1,20:58:00,20:58:30,950.88,5995.46,Disk thrash suspected
server_1,20:58:10,20:58:40,950.88,3736.09,Disk thrash suspected
server_1,20:58:20,20:58:50,7637.44,3736.09,Network flood + Disk thrash suspected
server_1,20:58:30,20:59:00,7637.44,3736.09,Network flood + Disk thrash suspected
server_1,20:58:40,20:59:10,12454.82,119.18,Possible DDoS
server_1,20:58:50,20:59:20,12454.82,156.65,Possible DDoS
server_1,20:59:00,20:59:30,12454.82,549.36,Possible DDoS
server_1,20:59:10,20:59:40,11911.05,549.36,Possible DDoS
server_1,20:59:20,20:59:50,11911.05,549.36,Possible DDoS
server_1,20:59:30,21:00:00,18122.52,181.67,Possible DDoS
server_1,20:59:40,21:00:10,18122.52,1992.84,Network flood + Disk thrash suspected
server_1,20:59:50,21:00:20,18122.52,1992.84,Network flood + Disk thrash suspected
server_1,21:00:00,21:00:30,4423.18,1992.84,Network flood + Disk thrash suspected
server_1,21:00:10,21:00:40,1004.95,4284.42,Disk thrash suspected
server_1,21:00:20,21:00:50,1004.95,4284.42,Disk thrash suspected
server_1,21:00:30,21:01:00,961.19,8889.6,Disk thrash suspected
server_1,21:00:40,21:01:10,16135.49,8889.6,Network flood + Disk thrash suspected
server_1,21:00:50,21:01:20,16135.49,8889.6,Network flood + Disk thrash suspected
server_1,21:01:00,21:01:30,16135.49,8356.88,Network flood + Disk thrash suspected
server_1,21:01:10,21:01:40,1077.65,8356.88,Disk thrash suspected
server_1,21:01:20,21:01:50,697.41,8356.88,Disk thrash suspected
server_1,21:01:30,21:02:00,832.52,4891.99,Disk thrash suspected
server_1,21:01:40,21:02:10,832.52,6410.44,Disk thrash suspected
server_1,21:01:50,21:02:20,4660.07,6410.44,Network flood + Disk thrash suspected
server_1,21:02:00,21:02:30,9658.94,6410.44,Network flood + Disk thrash suspected
server_1,21:02:10,21:02:40,16542.48,1647.51,Possible DDoS
server_1,21:02:20,21:02:50,16542.48,184.55,Possible DDoS
server_1,21:02:30,21:03:00,16542.48,1548.11,Possible DDoS
server_1,21:02:40,21:03:10,14944.76,1548.11,Possible DDoS
server_1,21:02:50,21:03:20,2116.46,1548.11,
server_1,21:03:00,21:03:30,915.31,70.02,
server_1,21:03:10,21:03:40,915.31,90.11,
server_1,21:03:20,21:03:50,915.31,90.11,
server_1,21:03:30,21:04:00,2332.76,1417.56,
server_1,21:03:40,21:04:10,2332.76,5693.71,Disk thrash suspected
server_1,21:03:50,21:04:20,17936.31,5693.71,Network flood + Disk thrash suspected
server_1,21:04:00,21:04:30,17936.31,5693.71,Network flood + Disk thrash suspected
server_1,21:04:10,21:04:40,17936.31,8883.77,Network flood + Disk thrash suspected
server_1,21:04:20,21:04:50,945.88,8883.77,Disk thrash suspected
server_1,21:04:30,21:05:00,2182.73,8883.77,Disk thrash suspected
server_1,21:04:40,21:05:10,3959.71,9086.4,Disk thrash suspected
server_1,21:04:50,21:05:20,3959.71,9615.4,Disk thrash suspected
server_1,21:05:00,21:05:30,5447.49,9615.4,Network flood + Disk thrash suspected
server_1,21:05:10,21:05:40,8918.7,9615.4,Network flood + Disk thrash suspected
server_1,21:05:20,21:05:50,8918.7,4227.6,Network flood + Disk thrash suspected
server_1,21:05:30,21:06:00,8918.7,4227.6,Network flood + Disk thrash suspected
server_1,21:05:40,21:06:10,15409.33,4227.6,Network flood + Disk thrash suspected
server_1,21:05:50,21:06:20,15409.33,3464.52,Network flood + Disk thrash suspected
server_1,21:06:00,21:06:30,15409.33,3464.52,Network flood + Disk thrash suspected
server_1,21:06:10,21:06:40,3910.73,3464.52,Disk thrash suspected
server_1,21:06:20,21:06:50,3910.73,1056.85,
server_1,21:06:30,21:07:00,2863.76,1056.85,
server_1,21:06:40,21:07:10,2863.76,1056.85,
server_1,21:06:50,21:07:20,970.44,7164.78,Disk thrash suspected
server_1,21:07:00,21:07:30,926.35,7164.78,Disk thrash suspected
server_1,21:07:10,21:07:40,926.35,7164.78,Disk thrash suspected
server_1,21:07:20,21:07:50,889.59,139.69,
server_1,21:07:30,21:08:00,973.91,82.08,
server_1,21:07:40,21:08:10,1817.67,6105.75,Disk thrash suspected
server_1,21:07:50,21:08:20,1817.67,6105.75,Disk thrash suspected
server_1,21:08:00,21:08:30,1817.67,9496.72,Disk thrash suspected
server_1,21:08:10,21:08:40,963.6,9496.72,Disk thrash suspected
server_1,21:08:20,21:08:50,11305.08,9496.72,Network flood + Disk thrash suspected
server_1,21:08:30,21:09:00,15871.27,8553.36,Network flood + Disk thrash suspected
server_1,21:08:40,21:09:10,15871.27,138.25,Possible DDoS
server_1,21:08:50,21:09:20,15871.27,117.03,Possible DDoS
server_1,21:09:00,21:09:30,6119.78,117.03,Possible DDoS
server_1,21:09:10,21:09:40,969.68,117.03,
server_1,21:09:20,21:09:50,969.68,112.81,
server_1,21:09:30,21:10:00,19258.62,1506.53,Possible DDoS
server_1,21:09:40,21:10:10,19258.62,1506.53,Possible DDoS
server_1,21:09:50,21:10:20,19258.62,1506.53,Possible DDoS
server_1,21:10:00,21:10:30,1007.29,624.89,
server_1,21:10:10,21:10:40,975.7,158.4,
server_1,21:10:20,21:10:50,16850.42,100.16,Possible DDoS
server_1,21:10:30,21:11:00,16850.42,3608.62,Network flood + Disk thrash suspected
server_1,21:10:40,21:11:10,16850.42,4294.72,Network flood + Disk thrash suspected
server_1,21:10:50,21:11:20,957.21,4294.72,Disk thrash suspected
server_1,21:11:00,21:11:30,5488.13,4294.72,Network flood + Disk thrash suspected
server_1,21:11:10,21:11:40,16322.25,153.27,Possible DDoS
server_1,21:11:20,21:11:50,16322.25,153.27,Possible DDoS
server_1,21:11:30,21:12:00,16322.25,195.19,Possible DDoS
server_1,21:11:40,21:12:10,10797.55,195.19,Possible DDoS
server_1,21:11:50,21:12:20,10797.55,651.52,Possible DDoS
server_1,21:12:00,21:12:30,8523.63,651.52,Possible DDoS
server_1,21:12:10,21:12:40,8523.63,6272.09,Network flood + Disk thrash suspected
server_1,21:12:20,21:12:50,8523.63,6272.09,Network flood + Disk thrash suspected
server_1,21:12:30,21:13:00,945.41,6272.09,Disk thrash suspected
server_1,21:12:40,21:13:10,3532.68,1489.12,
server_1,21:12:50,21:13:20,19590.6,1489.12,Possible DDoS
server_1,21:13:00,21:13:30,19590.6,1489.12,Possible DDoS
server_1,21:13:10,21:13:40,19590.6,970.12,Possible DDoS
server_1,21:13:20,21:13:50,14462.91,970.12,Possible DDoS
server_1,21:13:30,21:14:00,14282.38,1668.78,Possible DDoS
server_1,21:13:40,21:14:10,14282.38,7461.96,Network flood + Disk thrash suspected
server_1,21:13:50,21:14:20,3215.2,7461.96,Disk thrash suspected
server_1,21:14:00,21:14:30,4490.02,7461.96,Network flood + Disk thrash suspected
server_1,21:14:10,21:14:40,4490.02,1311.81,Possible DDoS
server_1,21:14:20,21:14:50,4490.02,1658.6,Possible DDoS
server_1,21:14:30,21:15:00,2973.85,1658.6,
server_1,21:14:40,21:15:10,2973.85,6302.07,Disk thrash suspected
server_1,21:14:50,21:15:20,923.32,6302.07,Disk thrash suspected
server_1,21:15:00,21:15:30,923.32,6302.07,Disk thrash suspected
server_1,21:15:10,21:15:40,859.2,105.45,
server_1,21:15:20,21:15:50,15837.34,119.64,Possible DDoS
server_1,21:15:30,21:16:00,15837.34,158.82,Possible DDoS
server_1,21:15:40,21:16:10,15837.34,1765.09,Possible DDoS
server_1,21:15:50,21:16:20,1524.27,1765.09,
server_1,21:16:00,21:16:30,1524.27,1765.09,
server_1,21:16:10,21:16:40,979.79,127.33,
server_1,21:16:20,21:16:50,10313.78,121.22,Possible DDoS
server_1,21:16:30,21:17:00,10313.78,105.27,Possible DDoS
server_1,21:16:40,21:17:10,10313.78,89.96,Possible DDoS
server_1,21:16:50,21:17:20,6805.26,84.81,Possible DDoS
server_1,21:17:00,21:17:30,6805.26,69.39,Possible DDoS
server_1,21:17:10,21:17:40,837.25,80.41,
server_1,21:17:20,21:17:50,925.42,80.41,
server_1,21:17:30,21:18:00,3380.73,758.38,
server_1,21:17:40,21:18:10,3380.73,8638.67,Disk thrash suspected
server_1,21:17:50,21:18:20,3380.73,8638.67,Disk thrash suspected
server_1,21:18:00,21:18:30,897.63,8638.67,Disk thrash suspected
server_1,21:18:10,21:18:40,897.63,3009.46,Disk thrash suspected
server_1,21:18:20,21:18:50,960.84,116.7,
server_1,21:18:30,21:19:00,14274.89,116.7,Possible DDoS
server_1,21:18:40,21:19:10,17202.09,115.19,Possible DDoS
server_1,21:18:50,21:19:20,17202.09,859.49,Possible DDoS
server_1,21:19:00,21:19:30,17202.09,1062.88,Possible DDoS
server_1,21:19:10,21:19:40,5351.66,1062.88,Possible DDoS
server_1,21:19:20,21:19:50,5351.66,1684.83,Possible DDoS
server_1,21:19:30,21:20:00,15280.73,1684.83,Possible DDoS
server_1,21:19:40,21:20:10,15280.73,1684.83,Possible DDoS
server_1,21:19:50,21:20:20,15280.73,75.78,Possible DDoS
server_1,21:20:00,21:20:30,836.51,7251.32,Disk thrash suspected
server_1,21:20:10,21:20:40,836.51,7251.32,Disk thrash suspected
server_1,21:20:20,21:20:50,760.89,7251.32,Disk thrash suspected
server_1,21:20:30,21:21:00,760.89,6366.21,Disk thrash suspected
server_1,21:20:40,21:21:10,760.89,82.63,
server_1,21:20:50,21:21:20,1399.93,1117.09,
server_1,21:21:00,21:21:30,1399.93,4224.17,Disk thrash suspected
server_1,21:21:10,21:21:40,1399.93,4224.17,Disk thrash suspected
